MMSI,Vessel Name,Vessel Type,Call Sign,IMO Number,Length,Breadth,Depth,Flag
538009031,ALEXANDROS III,Cargo,V7A4219,,,,,Marshall Islands
538009051,SSI CONQUEST,Cargo,V7A4245,,,,,Marshall Islands
538009053,SSI PROVIDENCE,Cargo,V7A4247,,,,,Marshall Islands
538009102,ENERGEAN STAR,Other,V7A4317,,,,,Marshall Islands
538009123,CELSIUS CANBERRA,Tanker,V7A4348,,,,,Marshall Islands
538009213,ECO WEST COAST,Tanker,V7A4460,,,,,Marshall Islands
538009272,CONSCIENCE,Cargo,V7A4532,,,,,Marshall Islands
538009328,SEAMELODY,Cargo,V7A4602,,,,,Marshall Islands
538009352,SSI ADVENTURE,Cargo,V7A4630,,,,,Marshall Islands
538009379,GOLDEN SPRAY,Cargo,V7A4661,,,,,Marshall Islands
538009539,MERCURY RISING,Cargo,V7A4864,,,,,Marshall Islands
538009615,EASTERLY AS OLIVIA,Tanker,V7A4959,,,,,Marshall Islands
538009735,ETG HAYATE,Cargo,V7A5098,,,,,Marshall Islands
538009817,VIKING PASSERO,79,V7A5205,,,,,Marshall Islands
538009866,AGIA FILOTHEI,79,V7A5269,,,,,Marshall Islands
538009926,ECO SORCERER,Tanker,V7A5351,,,,,Marshall Islands
538010071,HONORSHIP,Cargo,V7A5551,,,,,Marshall Islands
538010267,TS GUANGZHOU,Cargo,V7A5825,,,,,Marshall Islands
538010311,ATLANTIC NAVIGATORII,79,V7A5878,,,,,Marshall Islands
538010351,CHRISTINA,Cargo,V7A5929,,,,,Marshall Islands
538010359,JESSIE GLORY,Tanker,V7A5938,,,,,Marshall Islands
538010363,SABRINA GLORY,Tanker,V7A5942,,,,,Marshall Islands
538010527,SERENITY,79,V7A6175,,,,,Marshall Islands
538010654,TS INCHEON,Cargo,V7A7209,,,,,Marshall Islands
538010703,FW MERCURY,Cargo,V7A7288,,,,,Marshall Islands
538010891,FRONT GANDER,Tanker,V7A6283,,,,,Marshall Islands
538011175,ATLANTIC SUNSHINE,Tanker,V7A6719,,,,,Marshall Islands
538011209,SEAWAYS MIRAGE,Tanker,V7A6786,,,,,Marshall Islands
538011432,MH SHOGUN,Tanker,V7A7128,,,,,Marshall Islands
538011560,AICC KUNPENG,Cargo,V7A3127,,,,,Marshall Islands
538011571,LYRA M,Cargo,V7A3144,,,,,Marshall Islands
538011727,FUKUJIN MARU,Cargo,V7A3364,,,,,Marshall Islands
538011753,UGR ZAKHER,Cargo,V7A3410,,,,,Marshall Islands
538011785,GULF PETROLEUM 4,Tanker,V7A3457,,,,,Marshall Islands
538011817,BELAIT CSS1,Other,V7A3521,,,,,Marshall Islands
538011848,ASTROLIGHT,Tanker,V7A3560,,,,,Marshall Islands
538011850,OCEAN ERSA,Cargo,V7A3563,,,,,Marshall Islands
538011852,PICTOR,Cargo,V7A3565,,,,,Marshall Islands
538011873,GEMINI CAPO,Cargo,V7A3592,,,,,Marshall Islands
538011923,MH BORGA,Tanker,V7A3676,,,,,Marshall Islands
538011984,ERSOZ KAYE,Cargo,V7A3774,,,,,Marshall Islands
538012092,SEAWAYS SPIRIT,Tanker,V7A3963,,,,,Marshall Islands
538012191,KARISMA,Cargo,V7A4087,,,,,Marshall Islands
538012272,PERSEUS I,Cargo,V7B2615,,,,,Marshall Islands
538012356,ERASMUS NINJA,Cargo,V7B2733,,,,,Marshall Islands
538070840,CHIRON,Pleasure Craft,V7YI6,,,,,Marshall Islands
538071050,FAR NIENTE,Pleasure Craft,V7KA9,,,,,Marshall Islands
538071082,MAGNA GRECIA,Pleasure Craft,V7DA5,,,,,Marshall Islands
538071313,SALUZI,99,V7VW3,,,,,Marshall Islands
538071386,NO DESTINATION,Pleasure Craft,V7A2294,,,,,Marshall Islands
538071496,ARCTIC PRIDE II,Pleasure Craft,V7A4149,,,,,Marshall Islands
538071607,CHECKMATE,Pleasure Craft,V7A4737,,,,,Marshall Islands
538071617,SEA LION,,V7A4760,,,,,Marshall Islands
538072044,LADY DI,Pleasure Craft,V7A7406,,,,,Marshall Islands
