MMSI,Vessel Name,IMO Number,Call Sign,Vessel Type,Length,Breadth,Depth,Flag
211256150,CHIQUITA FARMER,IMO9336189,DFCY2,Cargo - Hazmat A,208,30,10.1,Germany
232044382,MAYE MANX,IMO9931549,MMLU2,Cargo,200,32,9.7,United Kingdom
636021822,HLS CITRINE,IMO9938585,5LFV8,Tanker,230,32,7.9,Unknown
538009363,STONE I,IMO9380582,V7HX5,Tanker,184,27,10.6,Marshall Islands
538005616,PASSAT,IMO9674854,V7FM3,Tanker,226,37,12.2,Marshall Islands
249729000,ADVENTURE,IMO1007641,9HA4357,Pleasure Craft,53,10,3.3,Malta
209697000,CONTSHIP LEO,IMO9403451,5BHD6,Cargo,148,25,6.1,Cyprus
563163400,EVER FRANK,IMO9850587,9V7980,74,334,48,11.5,Singapore
477965900,ZIM SPINEL,IMO9968035,VRVJ6,Cargo,272,43,12.9,Unknown
563030500,MAERSK HALIFAX,IMO9784271,9V5395,74,368,54,15.0,Singapore
636091487,PONTRESINA,IMO9334521,A8OK4,Cargo,213,32,8.5,Unknown
477118400,SAGA FREYA,IMO9502336,VRRA4,Cargo,199,32,9.2,Unknown
477690800,SEASPAN FUZHOU,IMO9403009,VRCS3,Cargo - Hazmat A,231,32,10.2,Unknown
636018222,NYK DELPHINUS,IMO9337652,D5OS3,73,294,32,12.6,Unknown
636020202,SCORPIUS,IMO9307279,A8KC6,Cargo,210,30,9.2,Unknown
538007108,PALANCA CADIZ,IMO9748007,V7RI4,Tanker,133,24,5.7,Marshall Islands
215105000,CELEBRITY APEX,IMO9838383,9HA4960,Passenger,306,50,8.3,Malta
636021162,LEGISLATOR,IMO9938523,5LCP2,84,227,37,8.4,Unknown
477736900,PACIFIC INEOS GRENAD,IMO9901403,VRUI7,Tanker,230,36,12.4,Unknown
538004644,VALARIS DS-16,IMO9630078,V7YE8,Other,229,36,11.3,Marshall Islands
538006195,DEEPWATER TITAN,IMO9735270,V7KR3,Dredger,227,43,10.2,Marshall Islands
477907400,SOUTHERN VENTURE,IMO9978755,VRVT3,Cargo,199,32,10.9,Unknown
259073000,HAVILA SUBSEA,IMO9505508,LGSY3,Other,98,20,8.0,Norway
563648000,PIS PRECIOUS,IMO9689158,9V7493,Tanker,183,32,8.1,Singapore
538004071,GH MADISON,IMO9456915,V7VA4,Tanker,228,32,11.6,Marshall Islands
632001117,EQUALITY,IMO9216547,3X2089,Tanker,228,32,9.8,Unknown
416475000,EVER LIBRA,IMO9595486,BKIC,Cargo,335,46,14.2,Taiwan
636020252,LONG BEACH EXPRESS,IMO9348675,A8OU4,Cargo,293,32,11.5,Unknown
215882000,MALTEZA,IMO9479034,9HA5349,Cargo,190,32,10.9,Malta
477754400,NEW VALOR,IMO9900681,VRUM5,Tanker,333,60,11.0,Unknown
636014430,KEFALONIA,IMO9382188,A8TU4,Tanker,102,17,6.6,Unknown
249644000,PYXIS MALOU,IMO9396763,9HWS9,Tanker,183,32,13.0,Malta
563105700,ULTRA SASKATOON,IMO9448229,9V6592,Cargo,200,32,6.1,Singapore
477312100,PACIFIC MARS,IMO9714642,VRSO8,Tanker,159,26,7.9,Unknown
218846000,CMA CGM PELLEAS,IMO9365788,DFPH2,Cargo,350,42,15.0,Germany
538008383,V. GLORY,IMO9849851,V7A2300,Tanker,330,60,13.7,Marshall Islands
257724000,CHAMPION ISTRA,IMO9489209,LAMK8,Tanker,195,32,7.3,Norway
563014500,LOWLANDS RISE,IMO9659828,9V5373,Cargo,234,38,14.5,Singapore
636014302,KM KEELUNG,IMO9461087,A8SV3,Cargo,229,32,14.4,Unknown
215517000,ALYCIA,IMO9588366,9HA2749,Cargo,179,30,9.8,Malta
405000382,MEGHNA VICTORY,IMO9928827,S2CI5,Cargo,200,36,8.6,Unknown
477312300,SAGA FAITH,IMO9808651,VRSO9,Cargo,199,32,8.7,Unknown
240679000,DHONOUSSA,IMO9306562,SYQM,Tanker,228,32,13.6,Greece
477810400,PACIFIC RIZHAO,IMO9739989,VRPM3,Tanker,226,37,7.7,Unknown
